DISTRICT,YEAR,WINNER,CATEGORY,ACCURACY
AL-02,2010,republican,TOSS-UP DEMOCRATIC,N
AL-05,2010,republican,LIKELY REPUBLICAN,Y
AR-01,2010,republican,LEAN REPUBLICAN,Y
AR-01,2012,republican,LIKELY REPUBLICAN,Y
AR-02,2010,republican,LIKELY REPUBLICAN,Y
AR-02,2012,republican,LIKELY REPUBLICAN,Y
AR-04,2010,democrat,LIKELY DEMOCRATIC,Y
AR-04,2012,republican,LEAN REPUBLICAN,Y
AR-04,2014,republican,LIKELY REPUBLICAN,Y
AZ-01,2010,republican,LEAN REPUBLICAN,Y
AZ-01,2012,democrat,LEAN REPUBLICAN,N
AZ-01,2014,democrat,TOSS-UP DEMOCRATIC,Y
AZ-01,2016,democrat,TOSS-UP DEMOCRATIC,Y
AZ-01,2018,democrat,LEAN DEMOCRATIC,Y
AZ-02,2014,republican,TOSS-UP DEMOCRATIC,N
AZ-02,2016,republican,LEAN REPUBLICAN,Y
AZ-02,2018,democrat,LEAN REPUBLICAN,N
AZ-03,2010,republican,LEAN REPUBLICAN,Y
AZ-03,2012,democrat,LIKELY REPUBLICAN,N
AZ-05,2010,republican,TOSS-UP DEMOCRATIC,N
AZ-05,2012,republican,LIKELY REPUBLICAN,Y
AZ-07,2010,democrat,TOSS-UP DEMOCRATIC,Y
AZ-08,2010,democrat,TOSS-UP DEMOCRATIC,Y
AZ-08,2012,republican,LIKELY DEMOCRATIC,N
AZ-09,2014,democrat,LEAN DEMOCRATIC,Y
AZ-09,2016,democrat,LIKELY DEMOCRATIC,Y
CA-03,2010,republican,LEAN REPUBLICAN,Y
CA-03,2012,democrat,LIKELY DEMOCRATIC,Y
CA-03,2014,democrat,LIKELY DEMOCRATIC,Y
CA-07,2012,democrat,TOSS-UP REPUBLICAN,N
CA-07,2014,democrat,TOSS-UP DEMOCRATIC,Y
CA-07,2016,democrat,LEAN DEMOCRATIC,Y
CA-07,2018,democrat,LEAN DEMOCRATIC,Y
CA-09,2012,democrat,LEAN DEMOCRATIC,Y
CA-09,2014,democrat,LIKELY DEMOCRATIC,Y
CA-10,2012,republican,LIKELY REPUBLICAN,Y
CA-10,2014,republican,LIKELY REPUBLICAN,Y
CA-10,2016,republican,LEAN REPUBLICAN,Y
CA-10,2018,democrat,LEAN REPUBLICAN,N
CA-11,2010,democrat,TOSS-UP DEMOCRATIC,Y
CA-16,2012,democrat,LIKELY DEMOCRATIC,Y
CA-16,2014,democrat,LIKELY DEMOCRATIC,Y
CA-16,2016,democrat,LIKELY DEMOCRATIC,Y
CA-18,2010,democrat,LIKELY DEMOCRATIC,Y
CA-20,2010,democrat,TOSS-UP DEMOCRATIC,Y
CA-21,2012,republican,TOSS-UP REPUBLICAN,Y
CA-21,2014,republican,LEAN REPUBLICAN,Y
CA-21,2016,republican,LEAN REPUBLICAN,Y
CA-21,2018,democrat,LIKELY REPUBLICAN,N
CA-24,2012,democrat,LEAN DEMOCRATIC,Y
CA-24,2014,democrat,LIKELY DEMOCRATIC,Y
CA-24,2016,democrat,LIKELY DEMOCRATIC,Y
CA-24,2018,democrat,LIKELY DEMOCRATIC,Y
CA-25,2016,republican,LEAN REPUBLICAN,Y
CA-25,2018,democrat,TOSS-UP REPUBLICAN,N
CA-26,2012,democrat,TOSS-UP DEMOCRATIC,Y
CA-26,2014,democrat,LEAN DEMOCRATIC,Y
