DISTRICT,YEAR,WINNER,VOTES
AL-01,2010,republican,129063.0
AL-01,2010,constitution,26357.0
AL-02,2010,democrat,106865.0
AL-02,2010,republican,111645.0
AL-03,2010,republican,117736.0
AL-03,2010,democrat,80204.0
AL-04,2010,republican,167714.0
AL-05,2010,democrat,95192.0
AL-05,2010,republican,131109.0
AL-06,2010,republican,205288.0
AL-07,2010,democrat,136696.0
AL-07,2010,republican,51890.0
AK-00,2010,republican,175384.0
AK-00,2010,democrat,77606.0
AZ-01,2010,republican,112816.0
AZ-01,2010,democrat,99233.0
AZ-01,2010,libertarian,14869.0
AZ-02,2010,libertarian,10820.0
AZ-02,2010,democrat,82891.0
AZ-02,2010,republican,173173.0
AZ-03,2010,libertarian,10478.0
AZ-03,2010,republican,108689.0
AZ-03,2010,green,3294.0
AZ-03,2010,democrat,85610.0
AZ-04,2010,republican,25300.0
AZ-04,2010,democrat,61524.0
AZ-04,2010,libertarian,2718.0
AZ-04,2010,green,2365.0
AZ-05,2010,democrat,91749.0
AZ-05,2010,republican,110374.0
AZ-05,2010,libertarian,10127.0
AZ-06,2010,democrat,72615.0
AZ-06,2010,republican,165649.0
AZ-06,2010,libertarian,7712.0
AZ-06,2010,green,3407.0
AZ-07,2010,democrat,79935.0
AZ-07,2010,independent,4506.0
AZ-07,2010,libertarian,4318.0
AZ-07,2010,republican,70385.0
AZ-08,2010,libertarian,11174.0
AZ-08,2010,republican,134124.0
AZ-08,2010,democrat,138280.0
AR-01,2010,republican,93224.0
AR-01,2010,democrat,78267.0
AR-01,2010,green,8320.0
AR-02,2010,green,3599.0
AR-02,2010,democrat,80687.0
AR-02,2010,republican,122091.0
AR-02,2010,independent,4421.0
AR-03,2010,republican,148581.0
AR-03,2010,democrat,56542.0
AR-04,2010,green,4129.0
AR-04,2010,democrat,102479.0
AR-04,2010,republican,71526.0
CA-01,2010,libertarian,5996.0
CA-01,2010,republican,72803.0
CA-01,2010,democrat,147307.0
CA-01,2010,green,8486.0
CA-02,2010,republican,130837.0
CA-02,2010,democrat,98092.0
CA-03,2010,american independent,6577.0
CA-03,2010,democrat,113128.0
CA-03,2010,peace and freedom,4789.0
CA-03,2010,republican,131169.0
CA-03,2010,libertarian,6275.0
CA-04,2010,green,22179.0
CA-04,2010,republican,186397.0
CA-04,2010,democrat,95653.0
CA-05,2010,peace and freedom,4594.0
CA-05,2010,republican,43577.0
CA-05,2010,democrat,124220.0
CA-06,2010,libertarian,5660.0
CA-06,2010,democrat,172216.0
CA-06,2010,peace and freedom,5915.0
CA-06,2010,republican,77361.0
CA-07,2010,republican,56764.0
CA-07,2010,democrat,122435.0
CA-08,2010,libertarian,4843.0
CA-08,2010,republican,31711.0
CA-08,2010,democrat,167957.0
CA-08,2010,peace and freedom,5161.0
CA-09,2010,republican,23054.0
CA-09,2010,green,4848.0
CA-09,2010,democrat,180400.0
CA-09,2010,peace and freedom,1670.0
CA-09,2010,libertarian,4113.0
CA-10,2010,republican,88512.0
CA-10,2010,green,7716.0
CA-10,2010,democrat,137578.0
CA-11,2010,democrat,115361.0
CA-11,2010,american independent,12439.0
CA-11,2010,republican,112703.0
CA-12,2010,libertarian,4611.0
CA-12,2010,democrat,152044.0
CA-12,2010,republican,44475.0
CA-13,2010,republican,45575.0
CA-13,2010,democrat,118278.0
CA-14,2010,democrat,151217.0
CA-14,2010,republican,60917.0
CA-14,2010,libertarian,6735.0
CA-15,2010,democrat,126147.0
CA-15,2010,republican,60468.0
CA-16,2010,libertarian,12304.0
CA-16,2010,republican,37913.0
CA-16,2010,democrat,105841.0
CA-17,2010,democrat,118734.0
CA-17,2010,republican,53176.0
CA-17,2010,green,3397.0
CA-17,2010,libertarian,2742.0
CA-18,2010,democrat,72853.0
CA-18,2010,republican,51716.0
CA-19,2010,republican,128394.0
CA-19,2010,democrat,69912.0
CA-20,2010,democrat,46247.0
CA-20,2010,republican,43197.0
CA-21,2010,republican,135979.0
CA-22,2010,republican,173490.0
CA-23,2010,independent,5625.0
CA-23,2010,libertarian,3326.0
CA-23,2010,democrat,111768.0
CA-23,2010,republican,72744.0
CA-24,2010,republican,144055.0
CA-24,2010,democrat,96279.0
CA-25,2010,republican,118308.0
CA-25,2010,democrat,73028.0
CA-26,2010,libertarian,6696.0
CA-26,2010,democrat,76093.0
CA-26,2010,american independent,12784.0
CA-26,2010,republican,112774.0
CA-27,2010,republican,55056.0
CA-27,2010,democrat,102927.0
CA-28,2010,democrat,88385.0
CA-28,2010,republican,28493.0
CA-28,2010,libertarian,10229.0
CA-29,2010,republican,51534.0
CA-29,2010,democrat,104374.0
CA-29,2010,libertarian,5218.0
CA-30,2010,republican,75948.0
CA-30,2010,libertarian,5021.0
CA-30,2010,democrat,153663.0
CA-30,2010,peace and freedom,3115.0
CA-31,2010,republican,14740.0
CA-31,2010,democrat,76363.0
CA-32,2010,democrat,77759.0
CA-32,2010,republican,31697.0
CA-33,2010,republican,21342.0
CA-33,2010,democrat,131990.0
CA-34,2010,republican,20457.0
CA-34,2010,democrat,69382.0
CA-35,2010,republican,25561.0
CA-35,2010,democrat,98131.0
CA-36,2010,democrat,114489.0
CA-36,2010,libertarian,10840.0
CA-36,2010,republican,66706.0
CA-37,2010,democrat,85799.0
CA-37,2010,independent,10560.0
CA-37,2010,republican,29159.0
CA-38,2010,republican,30883.0
CA-38,2010,democrat,85459.0
CA-39,2010,american independent,5334.0
CA-39,2010,democrat,81590.0
CA-39,2010,republican,42037.0
CA-40,2010,democrat,59400.0
CA-40,2010,republican,119455.0
CA-41,2010,republican,127857.0
CA-41,2010,democrat,74394.0
CA-42,2010,democrat,65122.0
CA-42,2010,republican,127161.0
CA-42,2010,libertarian,12115.0
CA-43,2010,democrat,70026.0
CA-43,2010,republican,36890.0
CA-44,2010,republican,107482.0
CA-44,2010,democrat,85784.0
CA-45,2010,american independent,13188.0
CA-45,2010,democrat,87141.0
CA-45,2010,republican,106472.0
CA-46,2010,democrat,84940.0
CA-46,2010,republican,139822.0
CA-47,2010,independent,7443.0
CA-47,2010,republican,37679.0
CA-47,2010,democrat,50832.0
CA-48,2010,republican,145481.0
CA-48,2010,libertarian,8773.0
CA-48,2010,democrat,88465.0
CA-49,2010,american independent,6585.0
CA-49,2010,libertarian,4290.0
CA-49,2010,democrat,59714.0
CA-49,2010,republican,119088.0
CA-50,2010,libertarian,5546.0
CA-50,2010,peace and freedom,5470.0
CA-50,2010,republican,142247.0
CA-50,2010,democrat,97818.0
CA-51,2010,democrat,86423.0
CA-51,2010,republican,57488.0
CA-52,2010,libertarian,10732.0
CA-52,2010,republican,139460.0
CA-52,2010,democrat,70870.0
CA-53,2010,democrat,104800.0
CA-53,2010,republican,57230.0
CA-53,2010,libertarian,6298.0
CO-01,2010,republican,59747.0
CO-01,2010,libertarian,2867.0
CO-01,2010,green,2923.0
CO-01,2010,democrat,140073.0
CO-01,2010,american constitution,2141.0
CO-02,2010,republican,98171.0
CO-02,2010,american constitution,7080.0
CO-02,2010,libertarian,5056.0
CO-02,2010,democrat,148720.0
CO-03,2010,republican,129257.0
CO-03,2010,libertarian,5678.0
CO-03,2010,unaffiliated,4982.0
