name,ranking,price,rating,year,country,region,sub_region,vineyard,style,color,blurb
Keuka Spring 2017 Gewürztraminer (Finger Lakes),100,17,90,2017,USA,New York,Finger Lakes,Keuka Spring , Gewürztraminer ,White,"A fragrant perfume of rose petals, melon, ginger and white pepper spice ..."
Alpha Estate 2015 Hedgehog Vineyard Xinomavro (Amyndeon),99,22,90,2015,Greece,Greece,Amyndeon,Alpha Estate , Hedgehog Vineyard Xinomavro ,Red,"Raspberry, spicebox and herbal aromas take the lead in Alpha Estate's popular ..."
Vinos de Arganza 2017 Viña Século Godello (Vino de la Tierra de Castilla y León),98,24,90,2017,Spain,Northern Spain,Vino de la Tierra de Castilla y León,Vinos de Arganza , Viña Século Godello ,White,This wine's stone fruit and green apple aromas are lightly briny and ...
Umathum 2016 Zweigelt (Burgenland),97,20,90,2016,Austria,Austria,Burgenland,Umathum , Zweigelt ,Red,Juicy black cherry on the nose still has a tinge of reduction. ...
Newton 2016 Skyside Claret (North Coast),96,20,90,2016,USA,California,North Coast,Newton , Skyside Claret ,Red,"Mint, chocolate and cherry flavors intermingle in this dry, full-bodied and firmly ..."
Ruca Malen 2015 Terroir Series Petit Verdot (Luján de Cuyo),95,19,90,2015,Argentina,Mendoza Province,Luján de Cuyo,Ruca Malen , Terroir Series Petit Verdot ,Red,This Petit Verdot carries aromas of dark berries and baking spices. The ...
Terenzi 2016  Morellino di Scansano,94,18,90,2016,Italy,Tuscany,N/A,Terenzi ,Morellino di Scansano,Red,"This young, juicy Sangiovese opens with aromas of red-skinned berry, crushed raspberry ..."
Muga 2017 Rosé (Rioja),93,17,90,2017,Spain,Northern Spain,Rioja,Muga , Rosé ,Rosé ,"Bright, peppy aromas of tangerine and nectarine are clean and attractive. A ..."
Savage Grace 2017 Dineen Vineyard Côt (Rattlesnake Hills),92,28,91,2017,USA,Washington,Columbia Valley,Savage Grace , Dineen Vineyard Côt ,Red,This wine was fermented 100% whole cluster and saw just five months ...
Tokara 2017 Sauvignon Blanc (Western Cape),91,17,90,2017,South Africa,South Africa,Western Cape,Tokara , Sauvignon Blanc ,White,"Bright, crisp and clean, this has a classic Sauvignon Blanc character of ..."
J. Portugal Ramos 2017 Alvarinho (Vinho Verde),90,17,90,2017,Portugal,Portugal,Vinho Verde,J. Portugal Ramos , Alvarinho ,White,This wine comes from the Monção and Melgaço region in the north ...
Northstar 2015 Cabernet Sauvignon (Columbia Valley (WA)),89,40,91,2015,USA,Washington,Columbia Valley,Northstar , Cabernet Sauvignon,Red,"Brooding aromas of dark fruit, char and spice are followed by velvety ..."
Boutari 2017 Assyrtiko (Santorini),88,35,91,2017,Greece,Greece,Santorini,Boutari , Assyrtiko ,White,"Jasmine, orange blossom and citrus scents start this food-friendly white from Santorini. ..."
Heitz 2015 Grignolino (Napa Valley),87,23,91,2015,USA,California,Napa Valley,Heitz , Grignolino ,Red,The winery has been making this unusual red since 1961. Wrapped in ...
Stark-Condé 2015 Cabernet Sauvignon (Stellenbosch),86,27,91,2015,South Africa,South Africa,Stellenbosch,Stark-Condé , Cabernet Sauvignon ,Red,"There's a leathery, tobacco-like seam throughout this bold Cab, adding intrigue to ..."
Pfeffingen 2016 Dry Scheurebe (Pfalz),85,23,91,2016,Germany,Germany,Pfalz,Pfeffingen , Dry Scheurebe ,White,"While mineral driven on first whiff, aeration reveals increasingly fragrant aromas of ..."
Adegas Gran Vinum 2017 Esencia Diviña Albariño (Rías Baixas),84,24,91,2017,Spain,Galicia,Rías Baixas,Adegas Gran Vinum , Esencia Diviña Albariño ,White,Orange and blanched almond aromas are light and lucid on the nose. ...
Pedestal 2015 Merlot (Columbia Valley (WA)),83,65,92,2015,USA,Washington,Columbia Valley,Pedestal , Merlot,Red,"High-toned exotic spice, dark raspberry and barrel aromas are followed by focused, ..."
Colombera & Garella 2014 Cascina Cottignano  (Bramaterra),82,44,92,2014,Italy,Piedmont,Bramaterra,Colombera & Garella , Cascina Cottignano  ,Red,"Aromas of graphite, dark spice, rose and wild berry lift out of ..."
